item_id,brand,department,group_stocks,name_stocks,full_price,discount_price,"""size""",quantity,size_range_type,"""style""",gender_id,gender,season_id,season,barcode,sku,store_barcode
20902158,12 STOREEZ,,,drawstring-waist straight-leg trousers ,605.0,605.0,XXS,1,12 Storeez Women Clothing Standard,114974,249,,83844203,SS24,2020902158171,114974,2111497450006.0
20901734,12 STOREEZ,,,Pyjama-style linen set,835.0,835.0,S,1,12 Storeez Women Clothing Standard,111437,249,,83844203,SS24,2020901734192,114371,2111437165007.0
20903099,12 STOREEZ,,,sleeveless V-neck fine-knit midi dress,835.0,835.0,L,1,12 Storeez Women Clothing Standard,121935,249,,83844203,SS24,2020903099213,121935,2112193567005.0
20903105,12 STOREEZ,,,embroidered cotton palazzo pants,605.0,605.0,S,1,12 Storeez Women Clothing Standard,115313,249,,58261828,AW23,2020903105198,115313,2111531365006.0
20901739,12 STOREEZ,,,Balloon organic cotton minidress,549.0,549.0,M,1,12 Storeez Women Clothing Standard,120933,249,,83844203,SS24,2020901739203,120933,2112093368009.0
20905208,12 STOREEZ,,,round-neck crop top ,275.0,275.0,XL,1,12 Storeez Women Clothing Standard,119605,249,,83844203,SS24,2020905208224,119605,2111960502003.0
20904616,12 STOREEZ,,,square-neck ribbed-knit top ,385.0,385.0,XS,1,12 Storeez Women Clothing Standard,120199,249,,83844203,SS24,2020904616181,120199,2112019973003.0
20904626,12 STOREEZ,,,round-neck merino tank top,385.0,385.0,XXS,1,12 Storeez Women Clothing Standard,119352,249,,83844203,SS24,2020904626173,119352,2111935275000.0
20904626,12 STOREEZ,,,round-neck merino tank top,385.0,385.0,XS,1,12 Storeez Women Clothing Standard,119352,249,,83844203,SS24,2020904626180,119352,2111935273006.0
20904626,12 STOREEZ,,,round-neck merino tank top,385.0,385.0,M,1,12 Storeez Women Clothing Standard,119352,249,,83844203,SS24,2020904626203,119352,2111935268002.0
20904634,12 STOREEZ,,,round-neck merino tank top ,385.0,385.0,M,1,12 Storeez Women Clothing Standard,119354,249,,83844203,SS24,2020904634208,119354,2111935468006.0
20904637,12 STOREEZ,,,scoop-neck sleeveless tank top ,385.0,385.0,XL,1,12 Storeez Women Clothing Standard,120198,249,,83844203,SS24,2020904637223,120198,2112019802006.0
20904637,12 STOREEZ,,,scoop-neck sleeveless tank top ,385.0,385.0,XS,1,12 Storeez Women Clothing Standard,120198,249,,83844203,SS24,2020904637186,120198,2112019873006.0
20905209,12 STOREEZ,,,round-neck cotton T-shirt ,235.0,235.0,S,1,12 Storeez Women Clothing Standard,120811,249,,83844203,SS24,2020905209191,120811,2112081171000.0
20905206,12 STOREEZ,,,V-neck cotton-blend cardigan,835.0,835.0,L,1,12 Storeez Women Clothing Standard,120206,249,,83844203,SS24,2020905206213,120206,2112020667007.0
20904643,12 STOREEZ,,,ribbed-knit hooded jumper ,835.0,835.0,XS,1,12 Storeez Women Clothing Standard,119254,249,,83844203,SS24,2020904643187,119254,2111925473003.0
20922055,12 STOREEZ,,,touch-strap suede sandals ,1055.0,1055.0,38,1,SHOES WOMEN'S IT,121212,249,,83844203,SS24,2020922055252,121212,4640153874767.0
20922058,12 STOREEZ,,,touch-strap leather sandals ,1055.0,1055.0,41,1,SHOES WOMEN'S IT,119980,249,,83844203,SS24,2020922058314,119980,4640153869381.0
20922061,12 STOREEZ,,,touch-strap flat sandals,889.0,889.0,35,1,SHOES WOMEN'S IT,114315,249,,83844203,SS24,2020922061192,114315,2111431535004.0
20922061,12 STOREEZ,,,touch-strap flat sandals,889.0,889.0,36,1,SHOES WOMEN'S IT,114315,249,,83844203,SS24,2020922061215,114315,2111431536001.0
20922060,12 STOREEZ,,,grained-leather flat sandals ,999.0,999.0,41,1,SHOES WOMEN'S IT,120854,249,,83844203,SS24,2020922060317,120854,4640153873319.0
20921870,12 STOREEZ,,,lace-up leather sneakers ,945.0,945.0,36,1,SHOES WOMEN'S IT,118899,249,,83844203,SS24,2020921870214,118899,4640153860791.0
